date,district,base_rate_per_kwh,daily_cost
2022-01-01,District A,0.13032291271115398,6.32
2022-01-01,District B,0.1544253142433913,8.79
2022-01-01,District C,0.14197640262457148,7.01
2022-01-01,District D,0.19102012197373505,10.54
2022-01-01,District E,0.1232468569707756,4.07
2022-01-02,District A,0.19309819952051677,9.48
2022-01-02,District B,0.18663953108424003,7.39
2022-01-02,District C,0.14380565731526523,7.33
2022-01-02,District D,0.1831432523741684,7.86
2022-01-02,District E,0.1224970848270998,2.82
2022-01-03,District A,0.19734924402347148,5.01
2022-01-03,District B,0.16212759540718313,7.91
2022-01-03,District C,0.14426248208523562,13.2
2022-01-03,District D,0.14900665700757418,6.65
2022-01-03,District E,0.12531242827683978,2.26
2022-01-04,District A,0.19914796112336314,5.0
2022-01-04,District B,0.12314335561205539,8.95
2022-01-04,District C,0.17239256985182871,15.26
2022-01-04,District D,0.15541887421651668,4.27
2022-01-04,District E,0.19591329745509722,5.21
2022-01-05,District A,0.13967997922454362,4.87
2022-01-05,District B,0.1625669459150409,11.53
2022-01-05,District C,0.15858849668662023,12.66
2022-01-05,District D,0.1762293155240081,7.52
2022-01-05,District E,0.12544081855619363,2.56
2022-01-06,District A,0.1355031304018684,5.87
2022-01-06,District B,0.137165185607428,9.64
2022-01-06,District C,0.17905206038733518,17.06
2022-01-06,District D,0.1351310957061392,4.2
2022-01-06,District E,0.16587934111127814,3.95
2022-01-07,District A,0.1372195056400763,4.05
2022-01-07,District B,0.18892999600671828,9.14
2022-01-07,District C,0.19537483635917108,14.89
2022-01-07,District D,0.16147943799537923,8.96
2022-01-07,District E,0.14818471073673425,6.18
2022-01-08,District A,0.13872462200139993,3.61
2022-01-08,District B,0.1239824801218435,8.27
2022-01-08,District C,0.14148000609579964,11.84
2022-01-08,District D,0.17233886239562543,4.6
2022-01-08,District E,0.16268935450473687,3.06
2022-01-09,District A,0.19552330226247422,7.57
2022-01-09,District B,0.15170218099933605,4.99
2022-01-09,District C,0.17550906738627156,10.44
2022-01-09,District D,0.1591458197980097,7.48
2022-01-09,District E,0.16100609727393694,4.4
2022-01-10,District A,0.1414219451683294,6.15
2022-01-10,District B,0.15639606214736,9.07
2022-01-10,District C,0.15766279976101658,11.53
2022-01-10,District D,0.17653140173991472,7.31
2022-01-10,District E,0.19525119993488912,3.81
2022-01-11,District A,0.14634570219860035,5.72
2022-01-11,District B,0.12337603748650387,6.53
2022-01-11,District C,0.15970361004005118,8.78
2022-01-11,District D,0.1635569065719335,8.37
2022-01-11,District E,0.13347524409055322,2.38
2022-01-12,District A,0.18083716850208534,4.48
2022-01-12,District B,0.19879432867531932,13.2
2022-01-12,District C,0.1956619773606769,18.06
2022-01-12,District D,0.13576848310589218,4.17
2022-01-12,District E,0.19002905919206087,5.49
2022-01-13,District A,0.1763594909129348,8.27
2022-01-13,District B,0.15630772510455293,5.47
2022-01-13,District C,0.16324887954597833,10.71
2022-01-13,District D,0.18796801399859664,10.34
2022-01-13,District E,0.15841079517106987,4.48
2022-01-14,District A,0.14985658952841016,4.2
2022-01-14,District B,0.15945979944207886,7.57
2022-01-14,District C,0.16633038432280395,10.38
2022-01-14,District D,0.1351262123022679,7.0
2022-01-14,District E,0.19207261842135925,7.93
2022-01-15,District A,0.17393495590636912,4.8
2022-01-15,District B,0.17066151338699911,7.42
2022-01-15,District C,0.12795969809445104,5.4
2022-01-15,District D,0.16833391505380735,7.09
2022-01-15,District E,0.12967685297907938,2.94
2022-01-16,District A,0.12629581401563192,3.44
2022-01-16,District B,0.16218487165139148,8.43
2022-01-16,District C,0.1522228427237196,8.3
2022-01-16,District D,0.16710482161249787,8.59
2022-01-16,District E,0.12713777344457908,4.26
2022-01-17,District A,0.15447864502778066,6.32
2022-01-17,District B,0.13398293720361262,7.61
2022-01-17,District C,0.19896800687392935,18.82
2022-01-17,District D,0.16489201699481396,5.33
2022-01-17,District E,0.1749949488752694,5.55
2022-01-18,District A,0.14603346245460863,2.99
2022-01-18,District B,0.12757911318234752,5.13
2022-01-18,District C,0.19806966902268294,10.0
2022-01-18,District D,0.14290072283065466,5.42
2022-01-18,District E,0.15390465481388593,2.97
2022-01-19,District A,0.171989113736206,4.02
2022-01-19,District B,0.1219757838148889,8.48
2022-01-19,District C,0.18482073044138297,14.71
2022-01-19,District D,0.16292625520228962,7.17
2022-01-19,District E,0.14225737496550578,3.1
2022-01-20,District A,0.12492863882339754,5.86
2022-01-20,District B,0.1329998732379553,7.78
2022-01-20,District C,0.19160270870827495,11.69
2022-01-20,District D,0.17488193791487128,9.85
2022-01-20,District E,0.13999213773095118,4.86
2022-01-21,District A,0.12524806119560236,2.97
2022-01-21,District B,0.1752492249909309,12.97
2022-01-21,District C,0.1657926180774212,7.06
2022-01-21,District D,0.15236156195665881,7.66
2022-01-21,District E,0.1490889159352051,3.12
2022-01-22,District A,0.13734514207432866,5.6
2022-01-22,District B,0.17356890052300142,6.96
2022-01-22,District C,0.19765344222350967,10.71
