date,district,daily_consumption_kwh,temperature_c,day_of_week,population
2022-01-01,District A,48.5,1.9,Saturday,10000
2022-01-01,District B,56.9,3.7,Saturday,15000
2022-01-01,District C,49.4,0.8,Saturday,20000
2022-01-01,District D,55.2,0.3,Saturday,12000
2022-01-01,District E,33.0,3.0,Saturday,8000
2022-01-02,District A,49.1,0.1,Sunday,10000
2022-01-02,District B,39.6,4.2,Sunday,15000
2022-01-02,District C,51.0,0.9,Sunday,20000
2022-01-02,District D,42.9,1.5,Sunday,12000
2022-01-02,District E,23.0,2.2,Sunday,8000
2022-01-03,District A,25.4,3.1,Monday,10000
2022-01-03,District B,48.8,1.5,Monday,15000
2022-01-03,District C,91.5,2.3,Monday,20000
2022-01-03,District D,44.6,1.0,Monday,12000
2022-01-03,District E,18.0,3.0,Monday,8000
2022-01-04,District A,25.1,3.0,Tuesday,10000
2022-01-04,District B,72.7,0.3,Tuesday,15000
2022-01-04,District C,88.5,4.8,Tuesday,20000
2022-01-04,District D,27.5,1.5,Tuesday,12000
2022-01-04,District E,26.6,3.4,Tuesday,8000
2022-01-05,District A,34.9,0.6,Wednesday,10000
2022-01-05,District B,70.9,0.2,Wednesday,15000
2022-01-05,District C,79.8,1.3,Wednesday,20000
2022-01-05,District D,42.7,1.6,Wednesday,12000
2022-01-05,District E,20.4,2.7,Wednesday,8000
2022-01-06,District A,43.3,4.8,Thursday,10000
2022-01-06,District B,70.3,4.7,Thursday,15000
2022-01-06,District C,95.3,3.0,Thursday,20000
2022-01-06,District D,31.1,0.4,Thursday,12000
2022-01-06,District E,23.8,0.2,Thursday,8000
2022-01-07,District A,29.5,1.9,Friday,10000
2022-01-07,District B,48.4,4.1,Friday,15000
2022-01-07,District C,76.2,1.4,Friday,20000
2022-01-07,District D,55.5,0.7,Friday,12000
2022-01-07,District E,41.7,0.4,Friday,8000
2022-01-08,District A,26.0,3.9,Saturday,10000
2022-01-08,District B,66.7,0.0,Saturday,15000
2022-01-08,District C,83.7,3.5,Saturday,20000
2022-01-08,District D,26.7,3.9,Saturday,12000
2022-01-08,District E,18.8,1.8,Saturday,8000
2022-01-09,District A,38.7,4.3,Sunday,10000
2022-01-09,District B,32.9,1.7,Sunday,15000
2022-01-09,District C,59.5,1.6,Sunday,20000
2022-01-09,District D,47.0,3.6,Sunday,12000
2022-01-09,District E,27.3,4.4,Sunday,8000
2022-01-10,District A,43.5,0.6,Monday,10000
2022-01-10,District B,58.0,3.8,Monday,15000
2022-01-10,District C,73.1,3.9,Monday,20000
2022-01-10,District D,41.4,2.6,Monday,12000
2022-01-10,District E,19.5,0.1,Monday,8000
2022-01-11,District A,39.1,0.2,Tuesday,10000
2022-01-11,District B,52.9,1.6,Tuesday,15000
2022-01-11,District C,55.0,4.5,Tuesday,20000
2022-01-11,District D,51.2,2.1,Tuesday,12000
2022-01-11,District E,17.8,1.1,Tuesday,8000
2022-01-12,District A,24.8,1.4,Wednesday,10000
2022-01-12,District B,66.4,4.6,Wednesday,15000
2022-01-12,District C,92.3,3.2,Wednesday,20000
2022-01-12,District D,30.7,4.0,Wednesday,12000
2022-01-12,District E,28.9,4.5,Wednesday,8000
2022-01-13,District A,46.9,4.0,Thursday,10000
2022-01-13,District B,35.0,1.6,Thursday,15000
2022-01-13,District C,65.6,1.1,Thursday,20000
2022-01-13,District D,55.0,4.1,Thursday,12000
2022-01-13,District E,28.3,0.0,Thursday,8000
2022-01-14,District A,28.0,2.1,Friday,10000
2022-01-14,District B,47.5,0.6,Friday,15000
2022-01-14,District C,62.4,4.7,Friday,20000
2022-01-14,District D,51.8,2.6,Friday,12000
2022-01-14,District E,41.3,1.8,Friday,8000
2022-01-15,District A,27.6,4.8,Saturday,10000
2022-01-15,District B,43.5,2.5,Saturday,15000
2022-01-15,District C,42.2,1.4,Saturday,20000
2022-01-15,District D,42.1,3.0,Saturday,12000
2022-01-15,District E,22.7,0.3,Saturday,8000
2022-01-16,District A,27.2,4.5,Sunday,10000
